,Unnamed: 0,Word,Count,Length
0,0,এবং,363907,3
1,1,করে,266289,3
2,2,ও,256319,1
3,3,করা,230461,3
4,4,এই,210954,2
5,5,যে,191383,2
6,6,জন্য,191210,4
7,7,না,188665,2
8,8,হয়,171587,2
9,9,থেকে,157136,4
10,10,তিনি,148877,4
11,11,তার,138546,3
12,12,করতে,128482,4
13,13,একটি,126156,4
14,14,এর,125065,2
15,15,আমি,120576,3
16,16,আর,108648,2
17,17,করেন,106966,4
18,18,করার,105158,4
19,19,আমাদের,104352,6
20,20,তাদের,103356,5
21,21,আমরা,96264,4
22,22,ছিল,91722,3
23,23,এক,89849,2
24,24,হবে,79822,3
25,25,বা,78663,2
26,26,মধ্যে,78572,5
27,27,সালে,77933,4
28,28,কিন্তু,77696,6
29,29,তারা,76250,4
30,30,এ,75597,1
31,31,আমার,75499,4
32,32,১,74908,1
33,33,কোন,73085,3
34,34,তা,72776,2
35,35,কি,68247,2
36,36,একজন,68121,4
37,37,যা,66383,2
38,38,হয়েছে,65353,5
39,39,হয়ে,64383,3
40,40,সেই,63701,3
41,41,তাঁর,62505,4
42,42,সাথে,62428,4
43,43,সঙ্গে,60467,5
44,44,কিছু,60000,4
45,45,একটা,57934,4
46,46,নিয়ে,57476,4
47,47,পারে,56039,4
48,48,২,54465,1
49,49,হিসেবে,54332,6
50,50,সময়,54124,3
51,51,এটা,53852,3
52,52,সে,53309,2
53,53,যায়,51651,3
54,54,কাজ,49303,3
55,55,আপনি,47990,4
56,56,যখন,47696,3
57,57,আছে,47129,3
58,58,বলে,47080,3
59,59,রয়েছে,46949,5
60,60,সালের,46110,5
61,61,কথা,44075,3
62,62,অনেক,43846,4
63,63,মনে,43433,3
64,64,হয়েছিল,42850,6
65,65,যদি,42660,3
66,66,৩,41919,1
67,67,প্রতি,41815,5
68,68,করেছিলেন,41047,8
69,69,তুমি,40724,4
70,70,হতে,39825,3
71,71,প্রথম,39637,5
72,72,কাছে,39314,4
73,73,ঈশ্বরের,38932,7
74,74,এটি,38326,3
75,75,শুরু,38117,4
76,76,নয়,38008,2
77,77,দিয়ে,37621,4
78,78,পর,37503,2
79,79,দ্বারা,37409,6
80,80,হল,37378,2
81,81,ছিলেন,37242,5
82,82,থাকে,37066,4
83,83,করেছে,36667,5
84,84,ব্যবহার,36345,7
85,85,আপনার,36252,5
86,86,যিহোবার,36007,7
87,87,৫,35700,1
88,88,হচ্ছে,35689,5
89,89,৪,35608,1
90,90,বছর,35590,3
91,91,কী,34808,2
92,92,তখন,34009,3
93,93,করুন,33652,4
94,94,তাকে,32358,4
95,95,এমন,32245,3
96,96,মাধ্যমে,31020,7
97,97,কোনো,30857,4
98,98,তাই,30336,3
99,99,করেছেন,30073,6
100,100,অথবা,29978,4
101,101,৬,29884,1
102,102,নতুন,29788,4
103,103,তোমার,29682,5
104,104,পর্যন্ত,29635,7
105,105,বেশি,29355,4
106,106,করি,29305,3
107,107,সাহায্য,29240,7
108,108,বিভিন্ন,28886,7
109,109,আরও,28692,3
110,110,১০,28030,2
111,111,সম্বন্ধে,27885,8
112,112,কারণ,27807,4
113,113,যারা,27710,4
114,114,বিষয়ে,27420,5
115,115,দেওয়া,27395,5
116,116,উপর,27126,3
117,117,এখন,27006,3
118,118,কেন,25829,3
119,119,আমাকে,25377,5
120,120,যিহোবা,24939,6
121,121,১৫,24717,2
122,122,করেছিল,24321,6
123,123,প্রায়,24282,5
124,124,তবে,24264,3
125,125,দেখা,24214,4
126,126,নেই,24123,3
127,127,বাইবেল,24079,6
128,128,করবে,23965,4
129,129,অন্যান্য,23933,8
130,130,দিকে,23661,4
131,131,হন,23603,2
132,132,মতো,23449,3
133,133,দেয়,23447,3
134,134,পারি,23423,4
135,135,জন,23247,2
136,136,৭,23227,1
137,137,প্রধান,22925,6
138,138,১২,22909,2
139,139,শেষ,22620,3
140,140,নাম,22509,3
141,141,লাভ,22357,3
142,142,ক্ষেত্রে,22314,8
143,143,৮,22158,1
144,144,তৈরি,22017,4
145,145,হলে,21677,3
146,146,ঠিক,21468,3
147,147,আগে,21466,3
148,148,পরে,21269,3
149,149,সব,21178,2
150,150,কীভাবে,21114,6
151,151,১১,21111,2
152,152,৯,20993,1
153,153,এখানে,20771,5
154,154,শিক্ষা,20736,6
155,155,পারেন,20720,5
156,156,তাহলে,20584,5
157,157,উত্তর,20499,5
158,158,বলা,20456,3
159,159,প্রদান,20422,6
160,160,যেমন,20356,4
161,161,অংশ,20184,3
162,162,কারণে,20046,5
163,163,সমস্ত,19931,5
164,164,যার,19854,3
165,165,হওয়ার,19758,5
166,166,খুব,19640,3
167,167,সময়ে,19585,4
168,168,ওপর,19399,3
169,169,১৪,19354,2
170,170,করছে,19347,4
171,171,১৩,19321,2
172,172,প্রকাশ,19243,6
173,173,ধরে,19213,3
174,174,বিষয়,19209,4
175,175,বিশেষ,19115,5
176,176,অন্য,19093,4
177,177,ধরনের,19054,5
178,178,ব্যক্তি,19048,7
179,179,দিতে,19020,4
180,180,জাতীয়,18833,5
181,181,যেতে,18745,4
182,182,দিন,18555,3
183,183,যেখানে,18547,6
184,184,বড়,18477,2
185,185,ফলে,18226,3
186,186,কেউ,18226,3
187,187,হিসাবে,18212,6
188,188,বাংলাদেশ,18056,8
189,189,ঈশ্বর,18056,5
190,190,১৬,17990,2
191,191,নামে,17954,4
192,192,বিশ্বাস,17883,7
193,193,পাওয়া,17700,5
194,194,গ্রহণ,17537,5
195,195,সকল,17521,3
196,196,১৭,17333,2
197,197,সরকার,17157,5
198,198,জীবন,16982,4
199,199,যেন,16892,3
200,200,উচিত,16873,4
201,201,২০,16851,2
202,202,একই,16422,3
203,203,সেখানে,16407,6
204,204,হয়তো,16081,4
205,205,ভারতের,16046,6
206,206,চেষ্টা,15801,6
207,207,বিরুদ্ধে,15761,8
208,208,যিনি,15736,4
209,209,কে,15736,2
210,210,সবচেয়ে,15724,6
211,211,মত,15493,2
212,212,গুরুত্বপূর্ণ,15457,12
213,213,১৮,15202,2
214,214,হওয়া,15097,4
215,215,ব্যবস্থা,15057,8
216,216,প্রয়োজন,15026,7
217,217,বলেন,15014,4
218,218,১৯,14746,2
219,219,যদিও,14638,4
220,220,বলতে,14428,4
221,221,অর্থ,14338,4
222,222,ছবি,14217,3
223,223,সেটা,14205,4
224,224,দ্বিতীয়,14118,7
225,225,বলেছিলেন,14105,8
226,226,মানুষ,13992,5
227,227,চলে,13975,3
228,228,আইন,13891,3
229,229,দেন,13810,3
230,230,সম্পর্কে,13637,8
231,231,যাবে,13595,4
232,232,কর,13480,2
233,233,তথ্য,13437,4
234,234,দুই,13402,3
235,235,করবেন,13401,5
236,236,অবস্থিত,13369,7
237,237,বেশ,13367,3
238,238,নিজের,13350,5
239,239,মানুষের,13328,7
240,240,প্রকাশিত,13327,8
241,241,দেশের,13277,5
242,242,সাধারণ,13262,6
243,243,দেখতে,13242,5
244,244,কম,13204,2
245,245,বাংলাদেশের,12990,10
246,246,গেছে,12989,4
247,247,তো,12883,2
248,248,সদস্য,12879,5
249,249,২৪,12860,2
250,250,প্রচার,12794,6
251,251,ছাড়া,12725,4
252,252,চেয়ে,12651,4
253,253,দক্ষিণ,12631,6
254,254,দেওয়ার,12574,6
255,255,পরিচিত,12559,6
256,256,শুধু,12547,4
257,257,আবার,12512,4
258,258,ভাল,12424,3
259,259,পালন,12418,4
260,260,পূর্ব,12408,5
261,261,সুযোগ,12398,5
262,262,ভাষায়,12380,5
263,263,আন্তর্জাতিক,12378,11
264,264,লোকেদের,12341,7
265,265,পড়ে,12248,3
266,266,লোক,12204,3
267,267,যিশু,12189,4
268,268,যাতে,12081,4
269,269,জন্ম,12049,4
270,270,২১,12047,2
271,271,দল,12044,2
272,272,উল্লেখ,11893,6
273,273,র,11869,1
274,274,থাকা,11714,4
275,275,মথি,11692,3
276,276,কাজে,11680,4
277,277,সেবা,11637,4
278,278,চিন্তা,11633,6
279,279,তুলে,11603,4
280,280,২২,11569,2
281,281,বন্ধ,11567,4
282,282,চলচ্চিত্র,11567,9
283,283,তোমাকে,11547,6
284,284,ভারতীয়,11544,6
285,285,ফিরে,11518,4
286,286,হলো,11515,3
287,287,গড়ে,11400,3
288,288,প্রেরিত,11352,7
289,289,দায়িত্ব,11328,7
290,290,পরিবর্তন,11327,8
291,291,কর্তৃক,11300,6
292,292,বাবা,11210,4
293,293,ছোট,11164,3
294,294,ভালো,11146,4
295,295,স্থানীয়,11128,7
296,296,রাজনৈতিক,11035,8
297,297,বর্তমানে,11026,8
298,298,সত্য,10930,4
299,299,এমনকি,10887,5
300,300,২৩,10869,2
301,301,কাছ,10824,3
302,302,দ্য,10802,3
303,303,রাজ্যের,10785,7
304,304,২৫,10749,2
305,305,দলের,10728,4
306,306,যোগ,10667,3
307,307,অনুযায়ী,10627,7
308,308,আরো,10566,3
309,309,বছরের,10538,5
310,310,নিজেদের,10481,7
311,311,আলোচনা,10462,6
312,312,হতো,10444,3
313,313,বুঝতে,10440,5
314,314,আপনাকে,10395,6
315,315,ই,10386,1
316,316,সৃষ্টি,10336,6
317,317,পুরস্কার,10331,8
318,318,সরকারের,10323,7
319,319,রাখা,10312,4
320,320,আসে,10308,3
321,321,ব্যাপারে,10253,8
322,322,থাকতে,10207,5
323,323,সাল,10176,3
324,324,যাচ্ছে,10124,6
325,325,বাংলা,10116,5
326,326,যোহন,10045,4
327,327,শহরের,10033,5
328,328,৩০,10027,2
329,329,পরিবারের,10023,8
330,330,দিয়েছিলেন,9984,9
331,331,কেবল,9984,4
332,332,মারা,9979,4
333,333,তাদেরকে,9961,7
334,334,খুবই,9909,4
335,335,ঢাকা,9888,4
336,336,তালিকা,9854,6
337,337,ঘোষণা,9843,5
338,338,মার্কিন,9822,7
339,339,মাঝে,9818,4
340,340,আল,9780,2
341,341,হার,9779,3
342,342,বাইবেলের,9744,8
343,343,নিতে,9738,4
344,344,সংখ্যা,9716,6
345,345,ভাই,9715,3
346,346,যান,9693,3
347,347,আশা,9660,3
348,348,বাক্য,9623,5
349,349,মা,9559,2
350,350,কাজের,9516,5
351,351,জন্যে,9494,5
352,352,জেলার,9484,5
353,353,অফ,9458,2
354,354,হাজার,9428,5
355,355,করো,9421,3
356,356,রাজা,9419,4
357,357,অধ্যয়ন,9416,6
358,358,দেখে,9408,4
359,359,নিশ্চিত,9405,7
360,360,গান,9385,3
361,361,জীবনের,9378,6
362,362,পায়,9368,3
363,363,পারবে,9367,5
364,364,সময়ের,9355,5
365,365,জেলা,9353,4
366,366,চাই,9343,3
367,367,প্রার্থনা,9322,9
368,368,ক্ষমতা,9313,6
369,369,টি,9301,2
370,370,সম্ভব,9291,5
371,371,তোমরা,9285,5
372,372,বের,9274,3
373,373,অব,9261,2
374,374,বৃদ্ধি,9251,6
375,375,নারী,9229,4
376,376,উদাহরণ,9212,6
377,377,মূল,9179,3
378,378,লক্ষ,9141,4
379,379,যীশু,9133,4
380,380,এরপর,9130,4
381,381,যাওয়ার,9116,6
382,382,চান,9115,3
